iter	Passed	Remaining
835	1135	222
836	1136	221
837	1138	220
838	1139	218
839	1140	217
840	1142	215
841	1143	214
842	1144	213
843	1145	211
844	1147	210
845	1148	209
846	1149	207
847	1150	206
848	1151	204
849	1152	203
850	1154	202
851	1155	200
852	1156	199
853	1157	197
854	1159	196
855	1160	195
856	1161	193
857	1162	192
858	1163	191
859	1165	189
860	1166	188
861	1167	186
862	1168	185
863	1169	184
864	1170	182
865	1171	181
866	1173	179
867	1174	178
868	1175	177
869	1176	175
870	1177	174
871	1179	173
872	1180	171
873	1181	170
874	1182	168
875	1183	167
876	1184	166
877	1186	164
878	1187	163
879	1188	162
880	1189	160
881	1190	159
882	1191	157
883	1193	156
884	1194	155
885	1195	153
886	1196	152
887	1198	151
888	1199	149
889	1200	148
890	1201	147
891	1202	145
892	1203	144
893	1204	142
894	1206	141
895	1207	140
896	1208	138
897	1209	137
898	1210	135
899	1211	134
900	1212	133
901	1213	131
902	1214	130
903	1216	129
904	1217	127
905	1218	126
906	1219	125
907	1220	123
908	1221	122
909	1222	120
910	1223	119
911	1224	118
912	1225	116
913	1227	115
914	1228	114
915	1229	112
916	1230	111
917	1231	110
918	1233	108
919	1234	107
920	1235	105
921	1236	104
922	1237	103
923	1238	101
924	1239	100
925	1240	99
926	1241	97
927	1242	96
928	1244	95
929	1245	93
930	1246	92
931	1247	91
932	1248	89
933	1249	88
934	1250	86
935	1252	85
936	1253	84
937	1254	82
938	1255	81
939	1256	80
940	1257	78
941	1258	77
942	1260	76
943	1261	74
944	1262	73
945	1263	72
946	1264	70
947	1265	69
948	1266	68
949	1267	66
950	1268	65
951	1269	64
952	1270	62
953	1272	61
954	1273	59
955	1274	58
956	1275	57
957	1276	55
958	1277	54
959	1278	53
960	1279	51
961	1281	50
962	1282	49
963	1283	47
964	1284	46
965	1285	45
966	1286	43
967	1287	42
968	1288	41
969	1289	39
970	1291	38
971	1292	37
972	1293	35
973	1294	34
974	1295	33
975	1296	31
976	1297	30
977	1298	29
978	1299	27
979	1301	26
980	1302	25
981	1303	23
982	1304	22
983	1305	21
984	1307	19
985	1308	18
986	1309	17
987	1310	15
988	1311	14
989	1312	13
990	1313	11
991	1315	10
992	1316	9
993	1318	7
994	1319	6
995	1320	5
996	1321	3
997	1323	2
998	1324	1
999	1325	0
